,Genes
1161,PMP22
1162,B4GALT5
1163,CFAP298
1164,SH3GLB1
1165,KIF1B
1166,PARM1
1167,UBE2G2
1168,SHC1
1169,ACOX1
1170,NDUFS2
1171,ACSL5
1172,TRIM44
1173,CFD
1174,SCNN1A
1175,NELFCD
1176,TMOD3
1177,FASN
1178,EIF4E2
1179,PRPF4B
1180,CYP4B1
1181,RAB2A
1182,REV1
1183,CUL3
1184,SRI
1185,ATF7IP
1186,TNFAIP2
1187,DAPK1
1188,STXBP2
1189,CCDC80
1190,BRD1
1191,SNX17
1192,EHMT1
1193,RNF187
1194,TNKS1BP1
1195,CHP1
1196,STX12
1197,TKT
1198,ZMAT2
1199,CMPK1
1200,EXOC3
1201,BNIP2
1202,UACA
1203,PSMD3
1204,ATP6V0E1
1205,ABCA1
1206,TMEM263
1207,MLEC
1208,PPP3CB
1209,EPS8L2
1210,RNF115
1211,PRKG1
1212,HDGF
1213,SUPT6H
1214,LTBR
1215,PRDX5
1216,SMAD3
1217,MFSD1
1218,APH1A
1219,MKNK2
1220,STK4
1221,PEAK1
1222,BLVRA
1223,POGK
1224,CHMP4B
1225,EDEM3
1226,PTP4A3
1227,ARFGAP3
1228,HDAC7
1229,NCBP2
1230,SKIL
1231,IGF2R
1232,CCNL1
1233,TMF1
1234,SCARB2
1235,SMDT1
1236,TRAK1
1237,RTF2
1238,RARA
1239,FOXO3
1240,BUD31
1241,SNX14
1242,UQCRC1
1243,IVNS1ABP
1244,TPM4
1245,DDIT4
1246,SLC22A31
1247,POGZ
1248,PGD
1249,COTL1
1250,EIF2AK2
1251,ROCK1
1252,TRPC4AP
1253,EFEMP1
1254,MXD4
1255,FNBP4
1256,SH3BP5
1257,RAB12
1258,U2SURP
1259,BET1L
1260,DMTF1
1261,VWF
1262,SORBS3
1263,SLC44A1
1264,P4HA1
1265,DUSP22
1266,CYSTM1
1267,RUFY1
1268,SPRED1
1269,RIN2
1270,REL
1271,CAPRIN1
1272,TGFBI
1273,OSTF1
1274,TBCB
1275,CD24
1276,FBXO7
1277,APOL2
1278,FAM193B
1279,PSMF1
1280,HMGN1
1281,GRB2
1282,CDC16
1283,ATP6AP1
1284,DDAH1
1285,APEX1
1286,DERL1
1287,SEPTIN11
1288,AQP3
1289,PARVA
1290,RBM39
1291,PXN
1292,MAT2B
1293,KIDINS220
1294,INO80E
1295,NFAT5
1296,ATP1A1
1297,RAB6A
1298,TSPYL1
1299,PUM1
1300,LAMB1
1301,GSR
1302,BPTF
1303,ZFP91
1304,CHMP1B
1305,CREBL2
1306,CRIM1
1307,CAPN1
1308,DOCK5
1309,NIPBL
1310,PRKCD
1311,POLR2H
1312,DDAH2
1313,ARHGAP29
1314,GPAA1
1315,PTOV1
1316,GTF2I
1317,LARP4
1318,CYFIP1
1319,ARF1
1320,CAPZA2
1321,PPP1R10
1322,VHL
1323,COL18A1
1324,MORF4L1
1325,PPP1R9B
1326,ITGBL1
1327,PPP1CA
1328,GUCD1
1329,USP32
1330,RAB8A
1331,SLC20A1
1332,NDUFS5
1333,HERC4
1334,CTBP2
1335,NDUFA10
1336,TSPAN4
1337,EMC2
1338,PPP2R5A
1339,CYC1
1340,SET
1341,HTT
1342,ARHGDIA
1343,SUSD6
1344,HP1BP3
1345,FOSB
1346,PDCD6
1347,BCL2L13
1348,PYURF
1349,TGIF1
1350,GDE1
1351,PPP1R12C
1352,RNF44
1353,ARPC3
1354,MAP7D1
1355,PPM1B
1356,PLTP
1357,EIF4E3
1358,SMCHD1
1359,SELENON
1360,IFI44
1361,TNS3
1362,ITFG1
1363,NDNF
1364,UBE2B
1365,BLVRB
1366,PPIA
1367,RFTN1
1368,IL7R
1369,POLR2I
1370,SETD3
1371,CHID1
1372,SMARCA2
1373,SPEN
1374,LRCH4
1375,HPGD
1376,GNL3
1377,ATF2
1378,IARS2
1379,ELAVL1
1380,DUSP6
1381,GJA1
1382,MEGF6
1383,PYCR2
1384,PDIA3
1385,TMCO3
1386,DIDO1
1387,ID1
1388,LIN7C
1389,ITGAX
1390,LRIG1
1391,YKT6
1392,TNFRSF12A
1393,MYO1D
1394,PLSCR1
1395,ST6GALNAC6
1396,SPRY1
1397,EMC7
1398,CXCR4
1399,NFIC
1400,PPP4R3B
1401,CNPY3
1402,ATP5MG
1403,ARPC5L
1404,KMT2D
1405,ALDH9A1
1406,TMEM106B
1407,VPS41
1408,SIN3B
1409,TM7SF3
1410,CGN
1411,PSMB9
1412,NUFIP2
1413,RBX1
1414,TMEM125
1415,DCAF7
1416,DLC1
1417,RNF40
1418,IRF3
1419,WASHC4
1420,TBC1D2B
1421,TMEM184B
1422,MAP4K4
1423,SDHB
1424,DDX46
1425,EIF1B
1426,CUTA
1427,TFPI
1428,PERP
1429,EIF6
1430,CSTB
1431,HYOU1
1432,RASA1
1433,PSMB5
1434,RAF1
1435,TNFRSF14
1436,NFKB2
1437,VCL
1438,CELF2
1439,MORC3
1440,LYN
1441,PPP6R2
1442,LRRFIP2
1443,DUSP3
1444,RGS1
1445,FCER1G
1446,DCAF12
1447,ANKRD17
1448,UBP1
1449,PPP1R7
1450,BIRC6
1451,PPM1A
1452,KAT6A
1453,EIF4A3
1454,ABCC3
1455,DLGAP4
1456,DCTN2
1457,AP3D1
1458,YIPF3
1459,PPP1R18
1460,NHP2
1461,ARHGAP35
1462,SNX30
1463,C7orf50
1464,SQOR
1465,EGLN1
1466,FAM111A
1467,HSPH1
1468,TRIOBP
1469,SRRM2
1470,TBC1D14
1471,DNAJC3
1472,GAA
1473,NRBP1
1474,SORT1
1475,NET1
1476,FOLR1
1477,ZC3H15
1478,PDLIM1
1479,ITGB5
1480,BRD7
1481,CAPNS1
1482,TAP2
1483,USP3
1484,PRPF38B
1485,ATP6V1F
1486,FNIP1
1487,MDFIC
1488,MT-ND3
1489,DDX42
1490,SAFB2
1491,C7
1492,ANXA7
1493,GADD45GIP1
1494,TNIK
1495,SNF8
1496,COX7A2
1497,KLHL24
1498,PKD2
1499,CADPS2
1500,DHRS7
1501,MYADM
1502,PRKDC
1503,ZNF24
1504,PHF20L1
1505,CTSL
1506,TBC1D5
1507,EPN1
1508,MFF
1509,SUPT5H
1510,NISCH
1511,SEC14L1
1512,COLGALT1
1513,PRKAA1
1514,AKAP1
1515,NT5C2
1516,SRP9
1517,USP15
1518,CBX3
1519,NCF2
1520,POLR2E
1521,STRN3
1522,CUL1
1523,MIA3
1524,MARK3
1525,LAMA4
1526,KXD1
1527,CSTF3
1528,CNOT11
1529,ELOVL5
1530,ECHDC1
1531,PTPA
1532,NXF1
1533,TXNL1
1534,NFIL3
1535,ST3GAL5
1536,VPS37B
1537,CUL4A
1538,NUMB
1539,MT-ND5
1540,CADM1
1541,SCGB1A1
1542,DDX3X
1543,LMBRD1
1544,KHDC4
1545,ALG13
1546,BTAF1
1547,CLIC4
1548,RABAC1
1549,HBP1
1550,ITGA1
1551,NECAP2
1552,IKZF1
1553,SPAG7
1554,ADAM9
1555,PIK3R1
1556,WIPF1
1557,CASP8
1558,USP33
1559,EMD
1560,EWSR1
1561,PAFAH1B2
1562,UBAP2L
1563,ADA2
1564,PLAUR
1565,C16orf72
1566,UBE2J1
1567,MX1
1568,PHYKPL
1569,AQP4
1570,ZFC3H1
1571,VASH1
1572,PITPNB
1573,TCIRG1
1574,FURIN
1575,DEK
1576,ABCC4
1577,LIMD1
1578,PHIP
1579,SMAP2
1580,ATXN2
1581,C2
1582,PPP1R12A
1583,ARL2
1584,CALCOCO1
1585,SLC25A16
1586,FKBP8
1587,GOSR2
1588,HCLS1
1589,INMT
1590,SMC4
1591,HPCAL1
1592,SLC30A9
1593,METTL7A
1594,USP53
1595,LIFR
1596,CYB5B
1597,NDUFS4
1598,ADRM1
1599,ESYT1
1600,LPIN2
1601,SECISBP2L
1602,GCC2
1603,NAPA
1604,TPGS2
1605,MALL
1606,MLF2
1607,NFX1
1608,KCTD20
1609,CPEB4
1610,RGS5
1611,ARID1A
1612,SNX6
1613,MARK2
1614,SMIM15
1615,ETFB
1616,AEBP2
1617,PHF10
1618,PPP1R15B
1619,ELK4
1620,TOX4
1621,TMUB2
1622,PBXIP1
1623,CHMP2A
1624,USO1
1625,ARL2BP
1626,KANSL1
1627,RXRA
1628,RTRAF
1629,SF3B1
1630,TLK1
1631,IRF2BP2
1632,CHD3
1633,C19orf33
1634,TOR1AIP1
1635,ADAMTS1
1636,NCSTN
1637,ITPRID2
1638,PHF3
1639,PML
1640,WIPI2
1641,HELZ
1642,MTA1
1643,CCDC14
1644,SH3RF1
1645,PRDM2
1646,EHD1
1647,FBLN5
1648,MGLL
1649,EGLN2
1650,PAPSS2
1651,FBXL3
1652,CCSER2
1653,CYBC1
1654,CYBRD1
1655,LRBA
1656,RC3H1
1657,TRAPPC5
1658,SHARPIN
1659,MAPK13
1660,MTSS2
1661,HTRA1
1662,INPPL1
1663,FAM214A
1664,HERPUD2
1665,LAMP3
1666,CCDC92
1667,TMEM245
1668,SHISA5
1669,CSNK1G2
1670,RBMS3
1671,MON2
1672,POLR2B
1673,ADGRE5
1674,ZDHHC20
1675,NIPSNAP2
1676,ROMO1
1677,MDM2
1678,ENY2
1679,DHX36
1680,FAM91A1
1681,MARCO
1682,SDC3
1683,PPP6R1
1684,IBTK
1685,HK1
1686,VWA1
1687,DOCK9
1688,MGST1
1689,SWAP70
1690,TCEAL8
1691,RASSF7
1692,SERINC3
1693,UBR5
1694,GFPT1
1695,CPSF7
